txHash,blockTimeUnix,changeType,ISC Balance Change,prevBalance,newBalance
4Pat1yYaRwA1qRtwr6EZJEUXMNRcYjU8gWQeWuwmEW78jomnqnHtwbKRjd6bJf99HogHDFBETBur2nZvE7DQieBv,1679931958,inc,0,0,0
Pkyx2mJbHZXYjd2YneXWriUxL4bufkWSAXzTG1QJJ2xvb5yP9RectJqQHr8pjpPeDD2JQkog2duiSvKf8ZSDhn1,1679690316,closedAccount,0,0,0
2BrcjFFyYnxn6nk98hAvx97Co2Z9WgFUiG9wi83n4pfXvYQE4bBHZ4wXcceYvxyCmhT27WKfe29bS6hvhTRDfh21,1679247425,dec,-13.57,13.57,0
5MwkCt49Tc8v5RNHqcocaGkCeFN6xowQvzRdZ4guSorCBi75A2jbnKDVHxTygvJpw1F55UGNUoSmiKWzGRLfsnvb,1679247118,inc,13.57,0,13.57
